City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,nuriootpa,-34.4833,139.0,17.76,33,1,3.04,AU,1713787244
127,uturoa,-16.7333,-151.4333,28.13,75,2,1.12,PF,1713787526
128,puerto natales,-51.7236,-72.4875,0.25,80,75,3.09,CL,1713787528
129,san juan de uraba,8.7592,-76.5297,25.78,87,63,2.42,CO,1713787529
130,ust-nera,64.5667,143.2,-5.98,99,75,1.68,RU,1713787533
131,qaqortoq,60.7167,-46.0333,-0.14,91,99,2.19,GL,1713787534
132,lebu,-37.6167,-73.65,11.51,79,94,5.84,CL,1713787537
133,kimbe,-5.5502,150.1429,25.49,92,52,1.5,PG,1713787540
134,yuzhno-kurilsk,44.0306,145.8556,2.43,97,100,3.07,RU,1713787543
135,constantia,44.1833,28.65,12.61,80,76,5.63,RO,1713787546
136,garoowe,8.4054,48.4845,33.97,36,100,2.24,SO,1713787547
137,tura,25.5198,90.2201,32.84,18,68,2.47,IN,1713787520
138,ujae,8.9322,165.7642,28.51,77,100,7.35,MH,1713787550
139,thompson,55.7435,-97.8558,-0.25,97,100,1.51,CA,1713787552
140,san antonio de pale,-1.4014,5.6325,29.4,72,97,2.25,GQ,1713787554
141,roma,43.2128,-75.4557,4.42,61,0,2.06,US,1713787555
142,saipan,15.1355,145.701,28.39,74,20,5.66,MP,1713787560
143,sisimiut,66.9395,-53.6735,2.07,81,100,2.65,GL,1713787563
144,awjilah,29.1081,21.2869,39.12,7,100,10.78,LY,1713787565
145,aasiaat,68.7098,-52.8699,0.57,90,100,2.66,GL,1713787567
146,tlanchinol,20.9833,-98.65,12.63,99,100,0.98,MX,1713787570
147,selfoss,63.9331,-20.9971,6.69,47,56,1.06,IS,1713787573
148,vorgashor,67.5833,63.95,-10.06,89,100,5.14,RU,1713787575
149,newman,37.3138,-121.0208,15.16,84,2,1.79,US,1713787576
150,puerto escondido,15.85,-97.0667,26.43,64,30,1.07,MX,1713787578
151,coyhaique,-45.5752,-72.0662,-4.03,93,75,0.51,CL,1713787580
152,peniche,39.3558,-9.3811,26.27,71,59,3.07,PT,1713787581
153,griffith,41.5284,-87.4237,7.16,72,0,3.09,US,1713787583
154,castillos,-34.1667,-53.8333,17.44,96,100,5.42,UY,1713787584
